Id,trans_hour,trans_day,trans_month,trans_year,category,upi_number,age,trans_amount,state,zip,fraud_risk
64,20,1,4,2022,10,9957000065,46,31.55,26,59448,0
65,21,1,4,2022,6,9957000066,24,75.56,22,49775,0
66,22,1,4,2022,8,9957000067,77,722.18,38,15665,1
67,22,1,4,2022,11,9957000068,77,898.81,38,15665,1
68,22,1,4,2022,11,9957000069,77,1001.63,38,15665,1
69,22,1,4,2022,1,9957000070,29,24.51,9,32323,0
70,22,1,4,2022,9,9957000071,79,49.61,0,99783,1
71,22,1,4,2022,7,9957000072,47,151.5,13,83646,0
72,23,1,4,2022,4,9957000073,79,295.26,0,99783,1
73,23,1,4,2022,11,9957000074,77,1099.99,38,15665,1
74,23,1,4,2022,5,9957000075,79,18.17,0,99783,1
75,0,1,5,2022,4,9957000076,45,83.83,4,94619,0
76,3,1,5,2022,2,7637000019,79,20.45,0,99783,1
77,3,1,5,2022,2,7637000020,79,18.19,0,99783,1
78,6,1,5,2022,2,7637000021,34,63.46,45,23937,0
79,8,1,5,2022,3,7637000022,40,64.67,47,99160,0
80,11,1,5,2022,2,7637000023,56,34.17,14,61560,0
81,11,1,5,2022,4,9957000082,64,367.29,24,64630,1
82,12,1,5,2022,6,9957000083,86,248.23,21,4074,0
83,12,1,5,2022,1,9957000084,28,119.53,34,13367,0
84,15,1,5,2022,7,9957000085,43,26.82,43,76578,0
85,18,1,5,2022,8,9957000086,79,768.15,0,99783,1
86,20,1,5,2022,10,9957000087,68,7.43,18,70466,0
87,22,1,5,2022,8,9957000088,79,849.49,0,99783,1
88,22,1,5,2022,11,9957000089,64,1177.79,24,64630,1
89,22,1,5,2022,4,9957000090,79,307.09,0,99783,1
90,22,1,5,2022,7,9957000091,79,4.58,0,99783,1
91,22,1,5,2022,12,9957000092,79,730.78,0,99783,1
92,22,1,5,2022,11,9957000093,79,1006.4,0,99783,1
93,22,1,5,2022,12,9957000094,79,830.72,0,99783,1
94,22,1,5,2022,12,9957000095,28,55.08,34,12419,0
95,23,1,5,2022,6,9957000096,47,49.28,14,62067,0
96,23,1,5,2022,4,9957000097,79,311.92,0,99783,1
97,23,1,5,2022,12,9957000098,64,762.93,24,64630,1
98,0,1,6,2022,1,9957000099,76,70.24,43,75210,0
99,4,1,6,2022,4,9957000100,64,151.76,38,17058,0
100,6,1,6,2022,3,9957000101,14,23.74,14,60958,0
101,16,1,6,2022,12,9957000102,24,9.86,23,55080,0
102,16,1,6,2022,10,9957000103,68,59.17,18,70466,0
103,17,1,6,2022,1,9957000104,21,25.95,10,30009,0
104,18,1,6,2022,11,9957000105,64,855.88,24,64630,1
105,20,1,6,2022,1,9957000106,57,130.81,43,76834,0
106,20,1,6,2022,0,9957000107,25,5.49,2,72042,0
107,21,1,6,2022,7,9957000108,29,54.02,36,73754,0
108,21,1,6,2022,1,9957000109,38,115.61,31,7208,0
109,21,1,6,2022,7,9957000110,47,17.07,36,74536,0
110,23,1,6,2022,11,9957000111,64,909.29,24,64630,1
111,4,1,7,2022,4,9957000112,51,67.07,36,74130,0
112,4,1,7,2022,4,9957000113,62,300.14,2,71832,1
113,7,1,7,2022,2,9957000114,33,47.17,9,33872,0
114,8,1,7,2022,8,9957000115,68,304.57,4,95528,0
115,8,1,7,2022,8,9957000116,43,38.47,22,48850,0
116,14,1,7,2022,7,9957000117,28,49.71,22,49826,0
117,14,1,7,2022,11,9957000118,37,102.05,47,99323,0
118,14,1,7,2022,6,9957000119,25,53.12,34,13811,0
119,15,1,7,2022,1,9957000120,45,64.05,38,17850,0
120,15,1,7,2022,10,9957000121,91,6.06,4,93529,0
121,15,1,7,2022,5,9957000122,38,15,1,35229,0
122,19,1,7,2022,1,9957000123,36,13.02,43,79539,0
123,20,1,7,2022,10,9957000124,59,43.46,15,46366,0
124,20,1,7,2022,6,9957000125,38,10.74,29,68859,0
125,21,1,7,2022,7,9957000126,51,82.45,28,58765,0
126,22,1,7,2022,11,9957000127,62,967.92,2,71832,1
127,23,1,7,2022,4,9957000128,62,270.01,2,71832,1
128,23,1,7,2022,4,9957000129,62,289.69,2,71832,1
129,0,1,8,2022,4,9957000130,17,311.83,35,45638,1
130,0,1,8,2022,4,9957000131,17,283.19,35,45638,1
131,0,1,8,2022,2,9957000132,32,51.48,16,66941,0
132,1,1,8,2022,2,9957000133,20,15.82,45,23106,1
133,1,1,8,2022,4,9957000134,62,296.32,2,71832,1
134,1,1,8,2022,4,9957000135,20,334.28,45,23106,1
135,1,1,8,2022,11,9957000136,51,5.14,17,42634,0
136,1,1,8,2022,9,9957000137,29,664.73,34,13755,1
137,2,1,8,2022,2,9957000138,62,8.79,2,71832,1
138,2,1,8,2022,4,9957000139,62,301.55,2,71832,1
139,2,1,8,2022,4,9957000140,20,327.26,45,23106,1
140,3,1,8,2022,11,9957000141,29,1127.56,34,13755,1
141,3,1,8,2022,4,9957000142,17,276.41,35,45638,1
142,3,1,8,2022,8,9957000143,29,722.92,34,13755,1
143,3,1,8,2022,3,9957000144,33,43.87,9,33967,0
144,4,1,8,2022,2,9957000145,20,8.33,45,23106,1
145,4,1,8,2022,11,9957000146,28,82.92,28,58015,0
146,4,1,8,2022,4,9957000147,29,333.09,34,13755,1
147,7,1,8,2022,11,9957000148,65,29.48,24,64630,0
148,8,1,8,2022,2,9957000149,33,64.31,50,82514,0
149,8,1,8,2022,3,9957000150,18,16.34,25,38677,0
150,8,1,8,2022,11,9957000151,49,5.72,35,44857,0
151,8,1,8,2022,4,9957000152,45,81.91,50,82063,0
152,9,1,8,2022,4,9957000153,62,128.34,3,86018,0
153,10,1,8,2022,8,9957000154,35,2.84,43,77026,0
154,11,1,8,2022,4,9957000155,17,291.51,35,45638,1
155,12,1,8,2022,13,9957000156,29,3.91,1,35022,0
156,14,1,8,2022,10,9957000157,67,7.75,29,68463,0
157,16,1,8,2022,0,9957000158,29,564.57,34,13755,1
158,16,1,8,2022,7,9957000159,48,15.16,43,75092,0
159,19,1,8,2022,12,9957000160,29,7.81,12,51632,0
160,22,1,8,2022,12,9957000161,29,929.28,34,13755,1
161,22,1,8,2022,8,9957000162,20,848.32,45,23106,1
162,22,1,8,2022,11,9957000163,62,1003.72,2,71832,1
163,22,1,8,2022,5,9957000164,21,93.03,33,89512,0
164,22,1,8,2022,6,9957000165,39,85.17,22,49854,0
165,22,1,8,2022,11,9957000166,17,1131.66,35,45638,1
166,22,1,8,2022,11,9957000167,17,959.59,35,45638,1
167,23,1,8,2022,0,9957000168,62,388.02,2,71832,1
168,23,1,8,2022,11,9957000169,17,1050.01,35,45638,1
169,23,1,8,2022,11,9957000170,17,996.93,35,45638,1
170,23,1,8,2022,12,9957000171,20,1030.43,45,23106,1
171,23,1,8,2022,11,9957000172,17,937.47,35,45638,1
172,0,1,9,2022,8,9957000173,17,623.43,35,45638,1
173,0,1,9,2022,4,9957000174,29,346.69,34,13755,1
174,1,1,9,2022,4,9957000175,68,337.06,9,34120,1
175,1,1,9,2022,2,9957000176,64,18.86,41,57340,1
176,2,1,9,2022,11,9957000177,29,847.72,34,13755,1
177,2,1,9,2022,8,9957000178,17,897.67,35,45638,1
178,2,1,9,2022,4,9957000179,68,305.6,9,34120,1
179,3,1,9,2022,4,9957000180,68,301.33,9,34120,1
180,4,1,9,2022,8,9957000181,29,701.88,34,13755,1
181,7,1,9,2022,8,9957000182,32,144.29,9,33040,0
182,10,1,9,2022,4,9957000183,68,303.14,9,34120,1
183,15,1,9,2022,8,9957000184,17,749.94,35,45638,1
184,15,1,9,2022,11,9957000185,64,1006.34,41,57340,1
185,15,1,9,2022,12,9957000186,26,32.83,42,38060,0
186,22,1,9,2022,12,9957000187,20,1104.38,45,23106,1
187,22,1,9,2022,11,9957000188,68,1044.81,9,34120,1
188,22,1,9,2022,11,9957000189,20,937.57,45,23106,1
189,22,1,9,2022,11,9957000190,20,918.69,45,23106,1
190,22,1,9,2022,13,9957000191,20,10.53,45,23106,1
191,22,1,9,2022,8,9957000192,68,835.36,9,34120,1
192,22,1,9,2022,1,9957000193,29,95.94,34,13755,1
193,22,1,9,2022,13,9957000194,17,9.91,35,45638,1
194,23,1,9,2022,12,9957000195,20,1148.15,45,23106,1
195,23,1,9,2022,12,9957000196,68,945.56,9,34120,1
196,23,1,9,2022,7,9957000197,29,18.24,34,13755,1
197,0,1,10,2022,2,9957000198,22,58.29,17,40077,0
198,0,1,10,2022,4,9957000199,68,325.38,9,34120,1
199,2,1,10,2022,2,9957000200,68,8.45,9,34120,1
200,3,1,10,2022,4,9957000201,64,311.47,41,57340,1
201,7,1,10,2022,8,9957000202,37,103.84,3,85020,0
202,12,1,10,2022,6,9957000203,41,33.9,43,76626,0
203,16,1,10,2022,6,9957000204,35,94.37,9,32044,0
204,18,1,10,2022,7,9957000205,50,46.54,10,30257,0
205,18,1,10,2022,5,9957000206,56,26.63,45,22853,0
206,22,1,10,2022,11,9957000207,68,1161.58,9,34120,1
207,22,1,10,2022,8,9957000208,68,685.63,9,34120,1
208,23,1,10,2022,4,9957000209,64,344.01,41,57340,1
209,23,1,10,2022,12,9957000210,20,4.57,17,42171,0
210,0,1,11,2022,8,9957000211,42,831.16,21,4555,1
211,0,1,11,2022,4,9957000212,73,299.98,38,16421,1
212,1,1,11,2022,4,9957000213,42,353.06,21,4555,1
213,1,1,11,2022,12,9957000214,42,846.52,21,4555,1
214,2,1,11,2022,4,9957000215,42,334.85,21,4555,1
215,2,1,11,2022,2,9957000216,73,8.18,38,16421,1
216,3,1,11,2022,11,9957000217,42,1008.39,21,4555,1
217,3,1,11,2022,2,9957000218,42,9.15,21,4555,1
218,4,1,11,2022,12,9957000219,58,5.25,20,21524,0
219,5,1,11,2022,9,9957000220,91,327.36,29,68641,0
220,5,1,11,2022,2,9957000221,78,49.59,38,15665,0
221,5,1,11,2022,2,9957000222,65,48.56,38,16048,0
222,6,1,11,2022,2,9957000223,21,58.66,48,54487,0
223,7,1,11,2022,4,9957000224,45,115.24,35,45051,0
224,7,1,11,2022,2,9957000225,73,11.48,38,16421,1
225,7,1,11,2022,9,9957000226,42,830.58,21,4555,1
226,8,1,11,2022,4,9957000227,37,95.71,45,22719,0
227,14,1,11,2022,0,9957000228,26,6.32,27,28314,0
228,15,1,11,2022,5,9957000229,42,21.13,21,4555,1
229,16,1,11,2022,1,9957000230,34,89.53,25,39073,0
230,16,1,11,2022,13,9957000231,26,5.21,27,28314,0
231,18,1,11,2022,7,9957000232,30,60.32,36,73754,0
232,19,1,11,2022,5,9957000233,42,19.51,21,4555,1
233,22,1,11,2022,11,9957000234,73,992.1,38,16421,1
234,23,1,11,2022,12,9957000235,73,882.9,38,16421,1
235,23,1,11,2022,5,9957000236,42,24.78,21,4555,1
236,23,1,11,2022,11,9957000237,73,1001.51,38,16421,1
237,0,1,12,2022,2,9957000238,46,11.73,38,16314,1
238,1,1,12,2022,2,9957000239,45,7.04,29,68869,1
239,1,1,12,2022,4,9957000240,73,288.41,38,16421,1
240,2,1,12,2022,4,9957000241,73,298.99,38,16421,1
241,3,1,12,2022,4,9957000242,42,368.43,21,4555,1
242,3,1,12,2022,4,9957000243,46,328.68,38,16314,1
243,4,1,12,2022,2,9957000244,33,71.08,9,33872,0
244,7,1,12,2022,4,9957000245,47,303.58,34,12460,1
245,8,1,12,2022,11,9957000246,47,98.61,18,70531,0
246,11,1,12,2022,4,9957000247,54,121.94,43,76857,0
247,12,1,12,2022,11,9957000248,29,1409.46,34,10463,0
248,15,1,12,2022,5,9957000249,32,14.52,44,84540,0
249,15,1,12,2022,12,9957000250,45,644.4,29,68869,1
250,15,1,12,2022,1,9957000251,46,120.58,38,16314,1
251,15,1,12,2022,11,9957000252,42,8.11,43,75452,0
252,17,1,12,2022,9,9957000253,32,30.11,45,24340,0
253,19,1,12,2022,11,9957000254,46,1081.35,38,16314,1
254,20,1,12,2022,10,9957000255,21,10.89,38,18103,0
255,22,1,12,2022,8,9957000256,73,843.44,38,16421,1
256,22,1,12,2022,7,9957000257,42,20.58,21,4555,1
257,22,1,12,2022,11,9957000258,46,776.7,38,16314,1
258,22,1,12,2022,8,9957000259,73,728.36,38,16421,1
259,22,1,12,2022,6,9957000260,85,42.83,27,27249,0
260,23,1,12,2022,8,9957000261,45,784.77,29,68869,1
261,23,1,12,2022,6,9957000262,42,264.35,21,4555,1
262,23,1,12,2022,4,9957000263,47,278.32,34,12460,1
263,23,1,12,2022,8,8135000000,73,696.76,38,16421,1
264,23,1,12,2022,1,8135000001,57,9.75,16,67584,0
265,23,1,12,2022,1,8135000002,42,119.72,21,4555,1
266,23,1,12,2022,8,8135000003,47,741.88,34,12460,1
267,23,1,12,2022,11,8135000004,45,1116.8,29,68869,1
268,0,13,1,2022,4,8135000005,44,320.6,29,68869,1
269,0,13,1,2022,12,8135000006,46,952.08,1,36617,1
270,1,13,1,2022,12,8135000007,58,6.45,19,1330,0
271,1,13,1,2022,11,8135000008,46,1060.34,1,36617,1
272,1,13,1,2022,12,8135000009,42,120.85,50,82514,0
273,1,13,1,2022,2,8135000010,47,7.42,34,12460,1
274,1,13,1,2022,4,8135000011,44,276.8,29,68869,1
275,2,13,1,2022,4,8135000012,44,336.2,29,68869,1
276,2,13,1,2022,4,8135000013,47,303.03,34,12460,1
277,7,13,1,2022,4,8135000014,45,308.84,38,16314,1
278,11,13,1,2022,2,8135000015,63,56.55,28,58651,0
279,13,13,1,2022,7,8135000016,46,19.19,1,36617,1
280,17,13,1,2022,11,8135000017,45,1033.78,38,16314,1
281,21,13,1,2022,11,8135000018,63,994.92,4,95148,1
282,21,13,1,2022,6,8135000019,17,7.35,23,55606,0
283,22,13,1,2022,11,8135000020,45,859.46,38,16314,1
284,22,13,1,2022,11,8135000021,47,919.17,34,12460,1
285,22,13,1,2022,11,8135000022,44,1062.95,29,68869,1
286,22,13,1,2022,12,8135000023,44,770.94,29,68869,1
287,22,13,1,2022,12,8135000024,45,728.77,38,16314,1
288,22,13,1,2022,7,8135000025,46,25.27,1,36617,1
289,23,13,1,2022,8,8135000026,63,816.89,4,95148,1
290,23,13,1,2022,5,8135000027,51,17.73,29,68626,0
291,23,13,1,2022,7,8135000028,46,23.18,1,36617,1
292,23,13,1,2022,5,8135000029,91,175.34,4,93529,0
293,23,13,1,2022,11,8135000030,47,976.64,34,12460,1
294,23,13,1,2022,0,8135000031,44,510.59,29,68869,1
295,23,13,1,2022,4,8135000032,63,307.5,4,95148,1
296,23,13,1,2022,10,8135000033,60,4.98,25,39665,0
297,23,13,1,2022,0,8135000034,42,37.63,21,4555,0
298,23,13,1,2022,7,8135000035,45,20.96,38,16314,1
299,23,13,1,2022,6,8135000036,46,224.94,1,36617,1
300,23,13,1,2022,8,8135000037,63,790.35,4,95148,1
301,23,13,1,2022,11,8135000038,47,870.97,34,12460,1
302,23,13,1,2022,8,8135000039,47,916.87,34,12460,1
303,23,13,1,2022,8,8135000040,47,714.88,34,12460,1
304,23,13,1,2022,11,8135000041,44,1065.43,29,68869,1
305,0,14,1,2022,8,8135000042,46,813.73,1,36617,1
306,0,14,1,2022,0,8135000043,30,417.97,34,11955,1
307,0,14,1,2022,4,8135000044,63,306.81,4,95148,1
308,0,14,1,2022,2,8135000045,63,12.57,4,95148,1
309,0,14,1,2022,4,8135000046,83,324.87,29,68881,1
310,0,14,1,2022,8,8135000047,79,21.84,5,81642,0
311,1,14,1,2022,4,8135000048,36,325.86,42,37754,1
312,1,14,1,2022,3,8135000049,83,16.44,29,68881,1
313,1,14,1,2022,4,8135000050,63,277.53,4,95148,1
314,2,14,1,2022,9,8135000051,30,8.56,34,11955,1
315,2,14,1,2022,4,8135000052,36,328.57,42,37754,1
316,2,14,1,2022,3,8135000053,83,13.2,29,68881,1
317,2,14,1,2022,4,8135000054,46,377.28,1,36617,1
318,2,14,1,2022,9,8135000055,46,7.24,1,36617,1
319,3,14,1,2022,9,8135000056,30,8.54,34,11955,1
320,3,14,1,2022,8,8135000057,25,801.35,27,28314,1
321,3,14,1,2022,0,8135000058,30,549.13,34,11955,1
322,3,14,1,2022,9,8135000059,34,42.22,1,36869,0
323,3,14,1,2022,1,8135000060,30,96.57,34,11955,1
324,3,14,1,2022,8,8135000061,25,746.43,27,28314,1
325,4,14,1,2022,2,8135000062,57,65.03,37,97492,0
326,5,14,1,2022,12,8135000063,46,747.46,1,36617,1
327,5,14,1,2022,12,8135000064,52,7.72,2,71960,0
328,6,14,1,2022,2,8135000065,45,70.49,40,29939,0
329,7,14,1,2022,4,8761000000,34,43.13,20,21750,0
330,7,14,1,2022,0,8761000001,46,522.21,1,36617,1
331,8,14,1,2022,11,8761000002,53,5.15,37,97452,0
332,8,14,1,2022,3,8761000003,83,12.95,29,68881,1
333,9,14,1,2022,2,8761000004,46,10.72,1,36617,1
334,9,14,1,2022,2,8761000005,63,8.25,4,95148,1
335,14,14,1,2022,12,8761000006,41,1.11,1,35049,0
336,15,14,1,2022,5,8761000007,46,37.44,32,87533,0
337,16,14,1,2022,10,8761000008,19,148.1,25,38761,0
338,16,14,1,2022,12,8761000009,83,839.35,29,68881,1
339,17,14,1,2022,9,8761000010,20,8.53,34,12534,0
340,17,14,1,2022,7,8761000011,39,192.96,22,49854,0
341,18,14,1,2022,12,8761000012,28,2.21,43,79842,0
342,18,14,1,2022,10,8761000013,20,101.23,46,5461,0
343,18,14,1,2022,13,8761000014,30,5.85,24,65072,0
344,19,14,1,2022,7,8761000015,73,8.09,4,96038,0
345,20,14,1,2022,6,8761000016,58,12.7,24,63131,0
346,20,14,1,2022,10,8761000017,30,22.22,34,11955,1
347,21,14,1,2022,7,8761000018,92,62.49,2,72513,0
348,22,14,1,2022,5,8761000019,30,21.47,34,11955,1
349,22,14,1,2022,11,8761000020,25,1169.82,27,28314,1
350,22,14,1,2022,8,8761000021,25,690.81,27,28314,1
351,22,14,1,2022,12,8761000022,63,969.64,4,95148,1
352,22,14,1,2022,11,8761000023,36,896.28,42,37754,1
353,22,14,1,2022,6,8761000024,46,249.87,1,36617,1
354,23,14,1,2022,11,8761000025,83,1034.21,29,68881,1
355,23,14,1,2022,1,8761000026,83,121.62,29,68881,1
356,23,14,1,2022,11,8761000027,36,964.77,42,37754,1
357,23,14,1,2022,10,8761000028,47,12.7,12,51521,0
358,23,14,1,2022,13,8761000029,46,10.2,1,36617,1
359,23,14,1,2022,7,8761000030,25,20.63,27,28314,1
360,23,14,1,2022,7,8761000031,30,22.91,34,11955,1
361,0,15,1,2022,2,8761000032,58,18.33,15,47863,1
362,0,15,1,2022,4,8761000033,25,297.74,27,28314,1
363,0,15,1,2022,12,8761000034,30,727.13,34,11955,1
364,0,15,1,2022,4,8761000035,36,310.15,42,37754,1
365,0,15,1,2022,1,8761000036,30,118.23,34,11955,1
366,0,15,1,2022,3,8761000037,62,10.7,21,4047,1
367,0,15,1,2022,4,8761000038,58,305.14,15,47863,1
368,1,15,1,2022,3,8761000039,83,15.05,29,68881,1
369,1,15,1,2022,3,8761000040,66,83.45,34,14425,0
370,1,15,1,2022,2,8761000041,58,19.36,15,47863,1
371,2,15,1,2022,4,8761000042,25,328.58,27,28314,1
372,2,15,1,2022,4,8761000043,62,326.68,21,4047,1
373,3,15,1,2022,4,8761000044,25,331.43,27,28314,1
374,3,15,1,2022,2,8761000045,36,64.15,29,69165,0
375,5,15,1,2022,2,8761000046,50,71.87,40,29209,0
376,8,15,1,2022,4,8761000047,30,331.2,34,11955,1
377,9,15,1,2022,3,8761000048,62,15.25,21,4047,1
378,9,15,1,2022,8,8761000049,25,760.83,27,28314,1
379,12,15,1,2022,10,8761000050,18,65.07,32,88355,0
380,13,15,1,2022,6,8761000051,38,47.88,29,68859,0
381,14,15,1,2022,11,8761000052,62,990.43,21,4047,1
382,15,15,1,2022,11,8761000053,58,905.28,15,47863,1
383,16,15,1,2022,11,8761000054,21,1.53,48,54487,0
384,19,15,1,2022,7,8761000055,28,8.71,43,78584,0
385,20,15,1,2022,13,8761000056,32,6.64,38,17060,0
386,21,15,1,2022,0,8761000057,31,56,9,33040,0
387,21,15,1,2022,12,8761000058,62,936.13,21,4047,1
388,22,15,1,2022,1,8761000059,73,56.42,4,96038,0
389,22,15,1,2022,13,8761000060,25,10.29,27,28314,1
390,22,15,1,2022,4,8761000061,62,308.33,21,4047,1
391,22,15,1,2022,11,8761000062,36,1104.91,42,37754,1
392,22,15,1,2022,11,8761000063,25,925.74,27,28314,1
393,22,15,1,2022,8,8761000064,36,737.43,42,37754,1
394,22,15,1,2022,11,8761000065,62,860.8,21,4047,1
395,22,15,1,2022,8,8761000066,83,851.71,29,68881,1
396,22,15,1,2022,12,8761000067,58,752.47,15,47863,1
397,22,15,1,2022,12,8761000068,62,816.78,21,4047,1
398,23,15,1,2022,11,8761000069,83,1124.01,29,68881,1
399,23,15,1,2022,7,8761000070,30,19.52,34,11955,1
400,23,15,1,2022,6,8761000071,36,113.21,36,74047,0
401,23,15,1,2022,8,8761000072,62,773.75,21,4047,1
402,23,15,1,2022,11,8761000073,83,1140.41,29,68881,1
403,23,15,1,2022,10,8761000074,30,20.09,34,11955,1
404,23,15,1,2022,4,8761000075,58,335.96,15,47863,1
405,23,15,1,2022,11,8761000076,25,1062.87,27,28314,1
406,23,15,1,2022,11,8761000077,58,1022.11,15,47863,1
407,23,15,1,2022,1,8761000078,30,149.42,34,11955,1
408,0,16,1,2022,4,8761000079,22,310.76,38,17051,1
409,1,16,1,2022,4,8761000080,22,282.6,38,17051,1
410,1,16,1,2022,9,8761000081,25,36.2,23,56152,0
411,1,16,1,2022,4,8761000082,69,330.32,12,50535,1
412,3,16,1,2022,4,8761000083,22,304.17,38,17051,1
413,3,16,1,2022,4,8761000084,22,279.83,38,17051,1
414,3,16,1,2022,8,8761000085,22,685.26,38,17051,1
415,4,16,1,2022,4,8761000086,42,163.01,43,79237,0
416,7,16,1,2022,4,8761000087,22,301.4,38,17051,1
417,7,16,1,2022,8,8761000088,46,204.65,38,17041,0
418,7,16,1,2022,3,8761000089,24,43.62,42,37932,0
419,9,16,1,2022,4,8761000090,43,88.35,22,49621,0
420,9,16,1,2022,1,8761000091,76,250.47,40,29860,0
421,9,16,1,2022,2,8761000092,58,20.49,15,47863,1
422,13,16,1,2022,6,8761000093,23,28.39,4,90250,0
423,15,16,1,2022,11,8761000094,62,999.36,21,4047,1
424,16,16,1,2022,4,8761000095,69,311.01,12,50535,1
425,16,16,1,2022,6,8761000096,47,35.43,23,55128,0
426,17,16,1,2022,6,8761000097,23,33.91,22,49628,0
427,18,16,1,2022,6,8761000098,84,113.39,9,34112,0
428,19,16,1,2022,5,8761000099,28,56.21,12,51632,0
429,22,16,1,2022,11,8761000100,62,1095.21,21,4047,1
430,22,16,1,2022,12,8761000101,69,793.22,12,50535,1
431,22,16,1,2022,8,8761000102,62,719.14,21,4047,1
432,22,16,1,2022,11,8761000103,22,1056.23,38,17051,1
433,22,16,1,2022,11,8761000104,22,929.9,38,17051,1
434,23,16,1,2022,12,8761000105,58,893.91,15,47863,1
435,23,16,1,2022,12,8761000106,62,838.04,21,4047,1
436,23,16,1,2022,8,8761000107,62,758.13,21,4047,1
437,23,16,1,2022,11,8761000108,22,1125.31,38,17051,1
438,23,16,1,2022,7,8761000109,62,6.01,21,4047,1
439,0,17,1,2022,3,8761000110,76,27.83,23,56729,0
440,0,17,1,2022,4,8761000111,22,322.84,38,17051,1
441,1,17,1,2022,4,8761000112,22,314.68,38,17051,1
442,1,17,1,2022,9,8761000113,31,795.59,44,84540,1
443,2,17,1,2022,4,8761000114,22,324.1,38,17051,1
444,3,17,1,2022,4,8761000115,22,311.83,38,17051,1
445,7,17,1,2022,4,8761000116,22,314.78,38,17051,1
446,8,17,1,2022,2,6900000000,31,9.79,44,84540,1
